attribute_id,attribute_refNumber,attribute_name,attribute_definition,dataSetId,dataSetName,dataset_refNumber,dataset_type,system_name,dataset_lifecycle,dataset_axon_status,system_parent_name,glossary_id,glossary_name,Tempestividade,SLO,Periodicidade,PeriododeRetenção,collectionNames,TipoInterface,datasetPublishStatus,dominio,subdominio,elemento_dados
1,AT-0001,user_id,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
2,AT-0002,cpf,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
3,AT-0003,telefone,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
4,AT-0004,email,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
5,AT-0005,endereço,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
6,AT-0006,ocupacao,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
7,AT-0007,escolaridade,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
8,AT-0008,nome_da_mae,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
9,AT-0009,nome_do_pai,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
10,AT-0010,estado_civil,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
11,AT-0011,genero,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
12,AT-0012,saldo,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
13,AT-0013,credito,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
14,AT-0014,periodo_contrato,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
15,AT-0015,tipo_contrato,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
16,AT-0016,agencia,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
17,AT-0017,gerente,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
18,AT-0018,prioridade,null,2,dim_info_cliente,DT-0002,dim,s_info,Active,Active,ADLS,GLO-02,infos_clientes,1,1,1,500,infos_clientes,Cloud,Published,crm,crm,infos_clientes
19,AT-0019,data_carga,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas
20,AT-0020,periodo_retencao,null,1,fct_conta_corrente,DT-0001,fct,s_cred_banco,Active,Active,ADLS,GLO-01,info_contas,1,1,1,720,info_contas,Cloud,Published,finanças,finanças,info_contas